product,year,date_dir,hdf_count,total_bytes
05kmAP,2007,2007_01_01,29,4734443255
05kmAP,2007,2007_01_02,29,4754521671
05kmAP,2007,2007_01_03,29,4688752011
05kmAP,2007,2007_01_04,30,4908087601
05kmAP,2007,2007_01_05,29,4744331679
05kmAP,2007,2007_01_06,29,4732802495
05kmAP,2007,2007_01_07,29,4754521672
05kmAP,2007,2007_01_08,29,4734272690
05kmAP,2007,2007_01_09,29,4754351094
05kmAP,2007,2007_01_10,29,4717077922
05kmAP,2007,2007_01_11,29,4752880870
05kmAP,2007,2007_01_12,30,4872282259
05kmAP,2007,2007_01_13,29,4734443340
05kmAP,2007,2007_01_14,29,4754587260
05kmAP,2007,2007_01_15,8,1308775292
05kmAP,2007,2007_01_17,15,2444037400
05kmAP,2007,2007_01_18,29,4754587226
05kmAP,2007,2007_01_19,29,4734443329
05kmAP,2007,2007_01_20,30,4909660475
05kmAP,2007,2007_01_21,29,4756029002
05kmAP,2007,2007_01_22,29,4740472612
05kmAP,2007,2007_01_23,29,4765072961
05kmAP,2007,2007_01_24,29,4744823986
05kmAP,2007,2007_01_25,28,4604937461
05kmAP,2007,2007_01_26,29,4679491626
05kmAP,2007,2007_01_27,29,4768022117
05kmAP,2007,2007_01_28,30,4920211781
05kmAP,2007,2007_01_29,29,4748074779
05kmAP,2007,2007_01_30,29,4769594962
05kmAP,2007,2007_01_31,29,4748009218
05kmAP,2007,2007_02_01,29,4756219683
05kmAP,2007,2007_02_02,29,4755611434
05kmAP,2007,2007_02_03,29,4771102283
05kmAP,2007,2007_02_04,29,4751023931
05kmAP,2007,2007_02_05,29,4774116961
05kmAP,2007,2007_02_06,30,4648679763
05kmAP,2007,2007_02_07,29,4754038591
05kmAP,2007,2007_02_08,29,4772609644
05kmAP,2007,2007_02_09,29,4754038593
05kmAP,2007,2007_02_10,29,4774116954
05kmAP,2007,2007_02_11,29,4755545917
05kmAP,2007,2007_02_12,29,4774051397
05kmAP,2007,2007_02_13,30,4929255757
05kmAP,2007,2007_02_14,29,4757053221
05kmAP,2007,2007_02_15,29,4775624330
05kmAP,2007,2007_02_16,29,4613847141
05kmAP,2007,2007_02_17,29,4775689832
05kmAP,2007,2007_02_18,20,3050586397
05kmAP,2007,2007_02_19,29,4775689842
05kmAP,2007,2007_02_20,29,4757118783
05kmAP,2007,2007_02_21,29,4775689848
05kmAP,2007,2007_02_22,30,4930763078
05kmAP,2007,2007_02_23,29,4555386062
05kmAP,2007,2007_02_24,29,4775624282
05kmAP,2007,2007_02_25,29,4757053243
05kmAP,2007,2007_02_26,29,4775624259
05kmAP,2007,2007_02_27,29,4757118768
05kmAP,2007,2007_02_28,29,4775689801
05kmAP,2007,2007_03_01,29,4756987657
