date,AP,AL,VF,missing_products,has_products
2007_01_01,1,1,1,,AP+AL+VF
2007_01_02,1,1,1,,AP+AL+VF
2007_01_03,1,1,1,,AP+AL+VF
2007_01_04,1,1,1,,AP+AL+VF
2007_01_05,1,1,1,,AP+AL+VF
2007_01_06,1,1,1,,AP+AL+VF
2007_01_07,1,1,1,,AP+AL+VF
2007_01_08,1,1,1,,AP+AL+VF
2007_01_09,1,1,1,,AP+AL+VF
2007_01_10,1,1,1,,AP+AL+VF
2007_01_11,1,1,1,,AP+AL+VF
2007_01_12,1,1,1,,AP+AL+VF
2007_01_13,1,1,1,,AP+AL+VF
2007_01_14,1,1,1,,AP+AL+VF
2007_01_15,1,1,1,,AP+AL+VF
2007_01_16,0,0,0,AP+AL+VF,
2007_01_17,1,1,1,,AP+AL+VF
2007_01_18,1,1,1,,AP+AL+VF
2007_01_19,1,1,1,,AP+AL+VF
2007_01_20,1,1,1,,AP+AL+VF
2007_01_21,1,1,1,,AP+AL+VF
2007_01_22,1,1,1,,AP+AL+VF
2007_01_23,1,1,1,,AP+AL+VF
2007_01_24,1,1,1,,AP+AL+VF
2007_01_25,1,1,1,,AP+AL+VF
2007_01_26,1,1,1,,AP+AL+VF
2007_01_27,1,1,1,,AP+AL+VF
2007_01_28,1,1,1,,AP+AL+VF
2007_01_29,1,1,1,,AP+AL+VF
2007_01_30,1,1,1,,AP+AL+VF
2007_01_31,1,1,1,,AP+AL+VF
2007_02_01,1,1,1,,AP+AL+VF
2007_02_02,1,1,1,,AP+AL+VF
2007_02_03,1,1,1,,AP+AL+VF
2007_02_04,1,1,1,,AP+AL+VF
2007_02_05,1,1,1,,AP+AL+VF
2007_02_06,1,1,1,,AP+AL+VF
2007_02_07,1,1,1,,AP+AL+VF
2007_02_08,1,1,1,,AP+AL+VF
2007_02_09,1,1,1,,AP+AL+VF
2007_02_10,1,1,1,,AP+AL+VF
2007_02_11,1,1,1,,AP+AL+VF
2007_02_12,1,1,1,,AP+AL+VF
2007_02_13,1,1,1,,AP+AL+VF
2007_02_14,1,1,1,,AP+AL+VF
2007_02_15,1,1,1,,AP+AL+VF
2007_02_16,1,1,1,,AP+AL+VF
2007_02_17,1,1,1,,AP+AL+VF
2007_02_18,1,1,1,,AP+AL+VF
2007_02_19,1,1,1,,AP+AL+VF
2007_02_20,1,1,1,,AP+AL+VF
2007_02_21,1,1,1,,AP+AL+VF
2007_02_22,1,1,1,,AP+AL+VF
2007_02_23,1,1,1,,AP+AL+VF
2007_02_24,1,1,1,,AP+AL+VF
2007_02_25,1,1,1,,AP+AL+VF
2007_02_26,1,1,1,,AP+AL+VF
2007_02_27,1,1,1,,AP+AL+VF
2007_02_28,1,1,1,,AP+AL+VF
2007_03_01,1,1,0,VF,AP+AL
2007_03_02,1,1,1,,AP+AL+VF
2007_03_03,1,1,1,,AP+AL+VF
2007_03_04,1,1,1,,AP+AL+VF
2007_03_05,1,1,1,,AP+AL+VF
2007_03_06,1,1,1,,AP+AL+VF
2007_03_07,1,1,1,,AP+AL+VF
2007_03_08,1,1,1,,AP+AL+VF
2007_03_09,1,1,1,,AP+AL+VF
2007_03_10,1,1,1,,AP+AL+VF
2007_03_11,1,1,1,,AP+AL+VF
2007_03_12,1,1,1,,AP+AL+VF
2007_03_13,1,1,1,,AP+AL+VF
2007_03_14,1,1,1,,AP+AL+VF
2007_03_15,1,1,1,,AP+AL+VF
2007_03_16,1,1,1,,AP+AL+VF
2007_03_17,1,1,1,,AP+AL+VF
2007_03_18,1,1,1,,AP+AL+VF
2007_03_19,1,1,1,,AP+AL+VF
2007_03_20,1,1,1,,AP+AL+VF
2007_03_21,1,1,1,,AP+AL+VF
2007_03_22,1,1,1,,AP+AL+VF
2007_03_23,1,1,1,,AP+AL+VF
2007_03_24,1,1,1,,AP+AL+VF
2007_03_25,1,1,1,,AP+AL+VF
2007_03_26,1,1,1,,AP+AL+VF
2007_03_27,1,1,1,,AP+AL+VF
2007_03_28,1,1,1,,AP+AL+VF
2007_03_29,1,1,1,,AP+AL+VF
2007_03_30,1,1,1,,AP+AL+VF
2007_03_31,1,1,1,,AP+AL+VF
2007_04_01,1,1,1,,AP+AL+VF
2007_04_02,1,1,1,,AP+AL+VF
2007_04_03,1,1,1,,AP+AL+VF
2007_04_04,1,1,1,,AP+AL+VF
2007_04_05,1,1,1,,AP+AL+VF
2007_04_06,1,1,1,,AP+AL+VF
2007_04_07,1,1,1,,AP+AL+VF
2007_04_08,1,1,1,,AP+AL+VF
2007_04_09,1,1,1,,AP+AL+VF
2007_04_10,1,1,1,,AP+AL+VF
2007_04_11,1,1,1,,AP+AL+VF
2007_04_12,1,1,1,,AP+AL+VF
2007_04_13,1,1,1,,AP+AL+VF
2007_04_14,1,1,1,,AP+AL+VF
2007_04_15,1,1,1,,AP+AL+VF
2007_04_16,1,1,1,,AP+AL+VF
2007_04_17,1,1,1,,AP+AL+VF
2007_04_18,1,1,1,,AP+AL+VF
2007_04_19,1,1,1,,AP+AL+VF
2007_04_20,1,1,1,,AP+AL+VF
2007_04_21,1,1,1,,AP+AL+VF
2007_04_22,1,1,1,,AP+AL+VF
2007_04_23,1,1,1,,AP+AL+VF
2007_04_24,1,1,1,,AP+AL+VF
2007_04_25,0,0,0,AP+AL+VF,
2007_04_26,1,1,1,,AP+AL+VF
2007_04_27,1,1,1,,AP+AL+VF
2007_04_28,1,1,1,,AP+AL+VF
2007_04_29,1,1,1,,AP+AL+VF
2007_04_30,1,1,1,,AP+AL+VF
2007_05_01,1,1,1,,AP+AL+VF
2007_05_02,1,1,1,,AP+AL+VF
2007_05_03,1,1,1,,AP+AL+VF
2007_05_04,1,1,1,,AP+AL+VF
