product,year,missing_days,missing_dates
05kmAP,2007,2,2007_01_16;2007_04_25
05kmAP,2008,20,2008_03_04;2008_03_05;2008_03_06;2008_03_07;2008_03_08;2008_03_09;2008_03_10;2008_06_04;2008_06_05;2008_06_06;2008_06_07;2008_06_08;2008_06_09;2008_07_19;2008_07_20;2008_07_21;2008_09_09;2008_09_25;2008_09_29;2008_09_30
05kmAP,2009,25,2009_02_17;2009_02_18;2009_02_19;2009_02_20;2009_02_21;2009_02_22;2009_02_23;2009_02_24;2009_02_25;2009_02_26;2009_02_27;2009_02_28;2009_03_01;2009_03_02;2009_03_03;2009_03_04;2009_03_05;2009_03_06;2009_03_07;2009_03_08;2009_03_09;2009_03_10;2009_03_11;2009_03_14;2009_06_13
05kmAP,2010,3,2010_08_03;2010_08_04;2010_08_15
05kmAP,2011,28,2011_03_08;2011_03_09;2011_03_10;2011_03_11;2011_03_12;2011_03_13;2011_06_04;2011_06_07;2011_06_08;2011_06_09;2011_06_10;2011_06_11;2011_06_12;2011_06_13;2011_06_14;2011_08_04;2011_08_05;2011_08_06;2011_08_07;2011_08_08;2011_08_09;2011_09_23;2011_09_24;2011_09_25;2011_09_26;2011_09_27;2011_09_28;2011_11_28
05kmAP,2012,39,2012_01_23;2012_01_24;2012_01_25;2012_01_26;2012_01_27;2012_01_28;2012_01_29;2012_01_30;2012_01_31;2012_02_01;2012_02_02;2012_03_07;2012_03_08;2012_03_09;2012_03_10;2012_03_11;2012_03_12;2012_03_13;2012_03_14;2012_03_15;2012_03_16;2012_03_17;2012_03_18;2012_03_19;2012_05_17;2012_05_18;2012_05_19;2012_05_20;2012_05_21;2012_07_14;2012_07_15;2012_07_16;2012_07_19;2012_07_20;2012_07_21;2012_07_22;2012_07_26;2012_07_27;2012_09_04
05kmAP,2013,24,2013_01_04;2013_01_05;2013_01_06;2013_03_20;2013_04_10;2013_04_11;2013_04_12;2013_04_13;2013_04_14;2013_04_15;2013_05_16;2013_05_17;2013_05_18;2013_05_19;2013_05_20;2013_05_22;2013_05_23;2013_05_24;2013_05_25;2013_05_26;2013_05_27;2013_10_01;2013_10_02;2013_10_31
05kmAP,2014,22,2014_01_06;2014_01_07;2014_01_08;2014_01_09;2014_01_10;2014_01_11;2014_01_12;2014_01_13;2014_02_21;2014_02_22;2014_02_23;2014_02_25;2014_02_26;2014_02_27;2014_02_28;2014_03_01;2014_03_02;2014_04_20;2014_04_21;2014_09_12;2014_09_13;2014_09_14
05kmAP,2015,17,2015_06_19;2015_06_20;2015_06_21;2015_06_22;2015_06_23;2015_06_24;2015_06_25;2015_06_26;2015_06_27;2015_06_28;2015_10_29;2015_10_30;2015_10_31;2015_11_01;2015_11_02;2015_11_22;2015_12_13
05kmAP,2016,53,2016_01_28;2016_01_29;2016_01_30;2016_01_31;2016_02_01;2016_02_02;2016_02_03;2016_02_04;2016_02_05;2016_02_06;2016_02_07;2016_02_08;2016_02_09;2016_02_10;2016_02_11;2016_02_12;2016_02_13;2016_02_14;2016_02_15;2016_02_16;2016_02_17;2016_02_18;2016_02_19;2016_02_20;2016_02_21;2016_02_22;2016_02_23;2016_02_24;2016_02_25;2016_02_26;2016_02_27;2016_02_28;2016_02_29;2016_03_01;2016_03_02;2016_03_03;2016_03_04;2016_03_05;2016_03_06;2016_03_07;2016_03_08;2016_03_09;2016_03_10;2016_03_11;2016_03_12;2016_03_13;2016_10_04;2016_10_05;2016_11_23;2016_11_24;2016_12_03;2016_12_15;2016_12_31
